fc_trans,NombrePignorante,prenda,dummy_dow1,dummy_dow2,dummy_dow3,dummy_dow4,dummy_dow5,dummy_dow6,dummy_suc1,dummy_suc2,dummy_suc3,dummy_suc4,dummy_suc5,dummy_suc6,prestamo,pr_recup,edad,visit_number,num_arms,faltas,dummy_prenda_tipo1,dummy_prenda_tipo2,dummy_prenda_tipo3,dummy_prenda_tipo4,dummy_prenda_tipo5,dummy_edo_civil1,dummy_edo_civil2,dummy_edo_civil3,dummy_edo_civil4,dummy_choose_same1,dummy_choose_same2,dummy_trabajo1,dummy_trabajo2,dummy_trabajo3,dummy_trabajo4,dummy_trabajo5,dummy_trabajo6,dummy_trabajo7,dummy_trabajo8,genero,pres_antes,fam_pide,fam_comun,ahorros,cta_tanda,renta,comida,medicina,luz,gas,telefono,agua,masqueprepa,estresado_seguido,pb,fb,hace_presupuesto,tentado,low_cost,low_time,rec_cel,dummy_choose_same3,dummy_trabajo9,fee,fc_admin,tau_hat_oob$predictions,tau_hat_oob$variance.estimates,propensity_score
1252.26,500753054503e7,78133883,0,0,1,0,0,0,0,0,0,1,0,0,960,90,42,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1189.9301,-11.27883402199416,1919.7979319772185,0.3939896486973023
2266.3315,501294602882e7,3595946,0,0,0,0,0,1,1,0,0,0,0,0,1310,30,44,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1871.4286,-4.251299482059807,3064.1515303876345,0.4475310417238986
428.57144,501832180474e7,80116701,0,0,0,1,0,0,0,0,0,0,1,0,110,100,47,1,1,0.2857143,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,157.14285,-12.36873225823287,1597.8525542065813,0.3784147114891768
5772.7285,502593203022e7,78134612,1,0,0,0,0,0,0,0,0,1,0,0,1020,100,50,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,2766.1128,3.3001016990042213,10691.783791287544,0.3390700723457699
3934.9529000000002,502593203022e7,78134611,1,0,0,0,0,0,0,0,0,1,0,0,690,100,50,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1871.1942,-8.662700347400225,707.1623755191156,0.3559097044028902
4157.7114,502593203022e7,78134613,1,0,0,0,0,0,0,0,0,1,0,0,730,100,50,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1979.6671,-12.792530967012404,814.4787113571931,0.35434738388792036
1428.5714,502709578029e7,10462866,0,0,0,0,1,0,0,0,0,0,0,1,620,70,21,1,1,0.14285715,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,885.71429,-19.732181769222667,403.61438162766103,0.4460977338625863
639.64001,502759656552e7,78133051,0,1,0,0,0,0,0,0,0,1,0,0,560,100,25,1,1,0.14285715,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,577.31,-22.419193567622305,713.1387556850628,0.4416371812327085
3571.4285,502759656552e7,78136379,0,0,0,1,0,0,0,0,0,1,0,0,960,100,25,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1371.4286,-20.359225987999963,975.0044762157531,0.39856867283303304
1074.25,5.0300099506800005e+018,3592376,0,0,1,0,0,0,1,0,0,0,0,0,810,100,36,1,1,0.42857143,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1001.92,-11.262906302742987,2550.034545962414,0.44322198429534343
